022 NIERUCHOMOŚCI SP. Z O.O.,03.02.2021,LANCIEGO 16/47,mazowieckie,02-792,Warszawa,https://www.otodom.pl/shop/022-nieruchomosci-sp-z-o-o-IDvTvF/
3 Metry,27.08.2015,Puławska 12/3,mazowieckie,02-566,Warszawa,https://3metry.otodom.pl
4piętro,09.07.2020,Oławska 5,mazowieckie,01-494,Warszawa,https://www.otodom.pl/shop/4pietro-IDwtwe/
4 Ściany Sp. z o.o.,26.04.2007,Pl. Konstytucji 3 lok.41,mazowieckie,00-647,Warszawa,https://www.otodom.pl/shop/4-sciany-sp-z-o-o-ID3PI/
50m2.pl - Luxury Real Estate,16.09.2020,Nowogrodzka 31,mazowieckie,00-511,Warszawa,https://www.otodom.pl/shop/50m2-pl-luxury-real-estate-IDwZib/
535broker.com,13.01.2011,Marszałkowska 84/92,mazowieckie,00-514,Warszawa,https://535broker.otodom.pl
8 ESTATE Biuro Sprzedaży Nieruchomości,30.01.2021,"Mazowiecka 11, lok. 49",mazowieckie,00-052,Warszawa,https://8estate.otodom.pl
a,29.01.2019,aa,mazowieckie,00-000,Warszawa,https://www.otodom.pl/shop/a-IDnvYU/
A6 Nieruchomości,02.07.2020,Żuromińska 15,mazowieckie,03-341,Warszawa,https://www.otodom.pl/shop/a6-nieruchomosci-IDwqCl/
A&A Jolie Maison,13.04.2021,Żoliborz,mazowieckie,01-601,Warszawa,https://www.otodom.pl/shop/a-a-jolie-maison-IDxcZ4/
A.A. Kalisz Anna Kalisz,18.01.2017,Mokotowska 48 lok 203,mazowieckie,00-543,Warszawa,https://www.otodom.pl/shop/a-a-kalisz-anna-kalisz-ID9CRA/
AbacusTeam. Piotr Górski,10.09.2018,Relaksowa 37 lok. 25,mazowieckie,02-796,Warszawa,https://abacusteam.otodom.pl
ABADA Nieruchomości,01.10.2019,Puławska 145,mazowieckie,02-715,Warszawa,https://www.otodom.pl/shop/abada-nieruchomosci-IDtC1X/
ABC Nieruchomości Warszawskie Sp. z o.o.,26.07.2016,Rynek Starego Miasta 12/14 lok. 2,mazowieckie,00-272,Warszawa,https://www.otodom.pl/shop/abc-nieruchomosci-warszawskie-sp-z-o-o-ID7rC8/
ABC Nieruchomości - Małgorzata Ziółkowska,14.03.2018,C. Śniegockiej 5 lok. 1,mazowieckie,00-430,Warszawa,https://www.otodom.pl/shop/abc-nieruchomosci-malgorzata-ziolkowska-IDggnh/
ABRA Nieruchomości,28.08.2017,Rakowiecka 36/118,mazowieckie,02-532,Warszawa,https://abra-nieruchomosci.otodom.pl
ABSLEY,14.12.2019,ul. Lucerny 49A,mazowieckie,04-687,Warszawa,https://ABSLEY.otodom.pl
ACONS sp z o.o. sp. kom.,05.11.2018,Pańska 73,mazowieckie,00-834,Warszawa,https://www.otodom.pl/shop/acons-sp-z-o-o-sp-kom-IDlVEU/
ACORD Nieruchomości,08.06.2011,ul. Andersa 31 lok 203,mazowieckie,00-159,Warszawa,https://www.otodom.pl/shop/acord-nieruchomosci-ID1rMq/
ADAMPOLSKI-NIERUCHOMOŚCI S.C.,20.07.2017,Wałbrzyska 48,mazowieckie,02-743,Warszawa,https://www.otodom.pl/shop/adampolski-nieruchomosci-s-c-IDbFxI/
Adam Rzemieniuk wycena majątku,17.06.2019,"Al. KEN, 11/173",mazowieckie,02-797,Warszawa,https://www.otodom.pl/shop/adam-rzemieniuk-wycena-majatku-IDqwf0/
AD.DRĄGOWSKI,15.06.2015,"Al. J. Ch. Szucha, 2/4",mazowieckie,00-582,Warszawa,https://www.otodom.pl/shop/ad-dragowski-ID3Opg/
ADORA,05.12.2016,Warszawa,mazowieckie,01-112,Warszawa,https://adora.otodom.pl
A.Drabczyk-Nieruchomości,20.08.2016,Zielone Zacisze,mazowieckie,03-294,Warszawa,https://www.otodom.pl/shop/a-drabczyk-nieruchomosci-ID7MiY/
AdReM Nieruchomości Sp z o.o.,22.01.2018,Bukowińska 24a/34,mazowieckie,02-703,Warszawa,https://adremwarszawa.otodom.pl
adres,05.09.2016,Polska,mazowieckie,02-013,Warszawa,https://www.otodom.pl/shop/adres-ID81zY/
Adres Niewiadomski Ryszard,11.02.2021,Czerwonego Krzyża 2,mazowieckie,00-377,Warszawa,https://www.otodom.pl/shop/adres-niewiadomski-ryszard-IDvVzD/
AD Complex,24.04.2017,Al. Jerozolimskie 6 lok.404,mazowieckie,00-374,Warszawa,https://www.otodom.pl/shop/ad-complex-IDaKzM/
AD House Nieruchomości,10.01.2017,"UL. PŁOCKA, 17/19",mazowieckie,01-230,Warszawa,https://www.otodom.pl/shop/ad-house-nieruchomosci-ID9rIu/
A&E Estate,09.10.2020,Boguckiego 4/77,mazowieckie,01-502,Warszawa,https://www.otodom.pl/shop/a-e-estate-IDvaMg/
Afisz Licencjonowane Biuro Nieruchomości,06.10.2010,Podróżnicza 5 H,mazowieckie,03-111,Warszawa,https://afisz-nieruchomosci.otodom.pl
AGATA SZAWRO NIERUCHOMOSCI,22.10.2020,Nowy Świat 33 lokal 13,mazowieckie,00-029,Warszawa,https://www.otodom.pl/shop/agata-szawro-nieruchomosci-IDv4Kb/
AGBUD,10.11.2017,"Żurawia 6/12, lok 766",mazowieckie,00-503,Warszawa,https://www.otodom.pl/shop/agbud-IDdGCc/
AGB INWESTYCJE  SP. Z O.O.,08.12.2020,NOWOGRODZKA 31,mazowieckie,00-511,Warszawa,https://www.otodom.pl/shop/agb-inwestycje-sp-z-o-o-IDvwP7/
Agencia Teste,12.03.2019,Ulica 1,mazowieckie,00-006,Warszawa,https://www.otodom.pl/shop/agencia-teste-IDoEJK/
