4 BUILDING Sp. z o.o. Sp. k.,07.11.2018,al. J.Ch.Szucha 2/4 lok. 50,mazowieckie,00-582,Warszawa,https://www.otodom.pl/shop/4-building-sp-z-o-o-sp-k-IDlZoM/
ADARA BUD SP. Z O.O.,07.06.2019,ZYNDRAMA Z MASZKOWIC 2D,mazowieckie,03-030,Warszawa,https://www.otodom.pl/shop/adara-bud-sp-z-o-o-IDqr79/
Adept Investment,12.01.2017,Dostatnia 20,mazowieckie,02-991,Warszawa,https://www.otodom.pl/shop/adept-investment-ID9yAm/
AIR TOURS POLAND CENTRUM PODRÓŻY SP. Z. O. O.,21.04.2021,ALEJE JEROZOLIMSKIE 151/7U,mazowieckie,03-326,Warszawa,https://www.otodom.pl/shop/air-tours-poland-centrum-podrozy-sp-z-o-o-IDxsSl/
Albero Invest Sp. z o.o.,22.11.2016,Zielna 37,mazowieckie,00-108,Warszawa,https://www.otodom.pl/shop/albero-invest-sp-z-o-o-ID8pCS/
ALNUS DEVELOPMENT SP. z o.o.,29.05.2015,Ordynacka 11 lok. 4,mazowieckie,00-364,Warszawa,https://bobrowiecka10.otodom.pl
AMG Trading sp. z o.o.,04.12.2019,ul. Ryżowa 49,mazowieckie,02-495,Warszawa,https://www.otodom.pl/shop/amg-trading-sp-z-o-o-IDtXCX/
Amm Dom Sp. z o.o.,07.07.2015,Bartycka 24,mazowieckie,00-716,Warszawa,https://www.otodom.pl/shop/amm-dom-sp-z-o-o-ID3R6S/
AMS Nieruchomości Sp z.o.o,03.12.2018,Grójecka 43 lok.1,mazowieckie,02-031,Warszawa,https://www.otodom.pl/shop/ams-nieruchomosci-sp-z-o-o-IDmhIY/
Ancona Development,02.07.2019,Chmielna 132/134,mazowieckie,00-805,Warszawa,https://www.otodom.pl/shop/ancona-development-IDqA7T/
Ancona Development Sp. z o.o.,09.08.2017,Chmielna 132/134,mazowieckie,00-805,Warszawa,https://www.otodom.pl/shop/ancona-development-sp-z-o-o-IDbUMy/
Ancona Development Sp. z o.o. DELTA Spółka komandytowa,18.01.2021,Chmielna 132/134,mazowieckie,00-805,Warszawa,https://www.otodom.pl/shop/ancona-development-sp-z-o-o-delta-spolka-komandytowa-IDvM3s/
AnnaBud,21.04.2021,Kasprzaka 96,mazowieckie,01-234,Warszawa,https://www.otodom.pl/shop/annabud-IDxsOT/
APM Development Spółka z ograniczoną odpowiedzialnością,12.03.2020,Bartycka 85 lok. U1,mazowieckie,00-716,Warszawa,https://www.otodom.pl/shop/apm-development-spolka-z-ograniczona-odpowiedzialnoscia-IDuFOX/
Aras 4 sp.zo.o spółka komandytowa,22.02.2017,"Kadetów 59, 03-987 Warszawa",mazowieckie,03-987,Warszawa,https://www.otodom.pl/shop/aras-4-sp-zo-o-spolka-komandytowa-IDa0Oa/
ARIA Sp.c.,07.05.2018,Rydygiera 17,mazowieckie,01-793,Warszawa,https://www.otodom.pl/shop/aria-sp-c-IDhoZG/
Arteo Development Sp. z o.o.,31.03.2020,Palisadowa 20/22,mazowieckie,01-940,Warszawa,https://www.otodom.pl/shop/arteo-development-sp-z-o-o-IDuOP0/
Ascomp International Sp. zo.o.,20.03.2020,Lambady 10,mazowieckie,02-830,Warszawa,https://www.otodom.pl/shop/ascomp-international-sp-zo-o-IDuDb9/
AS HOUSE,16.06.2020,PIĘKNA 24/26A,mazowieckie,00-549,Warszawa,https://www.otodom.pl/shop/as-house-IDwhHS/
AS HOUSE,17.06.2020,PIĘKNA 24/26A,mazowieckie,00-549,Warszawa,https://www.otodom.pl/shop/as-house-IDwhHP/
Atal S.A.,27.11.2020,ul. Płosa 3 lok U1,mazowieckie,03-531,Warszawa,https://www.otodom.pl/shop/atal-s-a-IDvsmO/
Atelier Invest,01.03.2013,Wał Miedzeszyński 48,mazowieckie,04-987,Warszawa,https://www.otodom.pl/shop/atelier-invest-ID2l6H/
Atlas Estates,27.11.2013,Al. Jerozolimskie 123 a,mazowieckie,02-017,Warszawa,https://www.otodom.pl/shop/atlas-estates-ID2GRL/
ATON PRESTIGE SP Z O.O.  SP. K .,10.06.2019,ul. Lutniowa 24/2,mazowieckie,02-388,Warszawa,https://www.otodom.pl/shop/aton-prestige-sp-z-o-o-sp-k-IDqrMr/
AT DEVELOPMENT Sp. Z O.O.,30.10.2020,Al. Jana Pawła II 22,mazowieckie,00-133,Warszawa,https://www.otodom.pl/shop/at-development-sp-z-o-o-IDviT0/
AURA REAL ESTATE Spółka z ograniczoną odpowiedzialnością,15.01.2021,al. Jana Pawła II 61 lok. 219,mazowieckie,01-031,Warszawa,https://www.otodom.pl/shop/aura-real-estate-spolka-z-ograniczona-odpowiedzialnoscia-IDvKd8/
Avalon Development Group,17.01.2010,Bolesława Limanowskiego 11 m.P,mazowieckie,02-943,Warszawa,https://avalondg.otodom.pl
Avalon Residence Sp. z o.o. Sp. k.,12.10.2016,Podskarbińska 14,mazowieckie,03-831,Warszawa,https://www.otodom.pl/shop/avalon-residence-sp-z-o-o-sp-k-ID8AhK/
Best Home Development Sp. z o.o.,22.05.2018,ul. Ostaszewska 4,mazowieckie,01-993,Warszawa,https://www.otodom.pl/shop/best-home-development-sp-z-o-o-IDhFmA/
BHG Sp. z o.o.,23.09.2016,Lindleya 16,mazowieckie,02-013,Warszawa,https://www.otodom.pl/shop/bhg-sp-z-o-o-ID8j7K/
BigHouse Sp. z o.o.,25.09.2020,Świętokrzyska 30/63,mazowieckie,00-116,Warszawa,https://www.otodom.pl/shop/bighouse-sp-z-o-o-IDv4yy/
Biuro Sprzedaży,07.01.2021,POLNA 42/6,mazowieckie,00-635,Warszawa,https://www.otodom.pl/shop/biuro-sprzedazy-IDvG9Z/
BIURO SPRZEDAŻY MIESZKAŃ,24.11.2020,ul. Kolejowa 45/U5,mazowieckie,01-210,Warszawa,https://www.otodom.pl/shop/biuro-sprzedazy-mieszkan-IDvrmh/
Biuro Sprzedaży Mieszkań Deweloperskich,10.06.2020,Śniadeckich 17,mazowieckie,00-654,Warszawa,https://www.otodom.pl/shop/biuro-sprzedazy-mieszkan-deweloperskich-IDwhAQ/
Biuro Sprzedaży Willa na Żeraniu,07.01.2020,Myśliborska 20,mazowieckie,03-185,Warszawa,https://www.otodom.pl/shop/biuro-sprzedazy-willa-na-zeraniu-IDu3ep/
BJM Development,26.04.2017,Klimontowska 26/50,mazowieckie,04-672,Warszawa,https://www.otodom.pl/shop/bjm-development-IDaN5V/
BLOXO DEVELOPMENT SP. Z O.O. Sp. K.,20.01.2017,Lutniowa 24,mazowieckie,02-388,Warszawa,https://www.otodom.pl/shop/bloxo-development-sp-z-o-o-sp-k-ID9EQs/
Bouygues Immobilier,18.02.2021,Armii Ludowej 14,mazowieckie,00-638,Warszawa,https://www.otodom.pl/shop/bouygues-immobilier-IDx0R2/
BPI Real Estate Poland sp. z o.o.,14.09.2015,Komitetu Obrony Robotników 48,mazowieckie,02-146,Warszawa,https://www.otodom.pl/shop/bpi-real-estate-poland-sp-z-o-o-ID4ogX/
BPI Real Estate Poland sp. z o.o.,22.06.2020,ul. Komitetu Obrony Robotników 48,mazowieckie,02-146,Warszawa,https://BPI.otodom.pl
BS Projekt,08.06.2017,Bitwy Warszawskiej 1920r.23/124,mazowieckie,02-366,Warszawa,https://www.otodom.pl/shop/bs-projekt-IDbe6C/
Budimex Nieruchomości,24.05.2017,ul. Stawki 40,mazowieckie,01-040,Warszawa,https://www.otodom.pl/shop/budimex-nieruchomosci-IDb4tA/
Budimex Nieruchomości Sp. z o.o.,23.12.2020,ul. Skierniewicka 16/20,mazowieckie,01-230,Warszawa,https://www.otodom.pl/shop/budimex-nieruchomosci-sp-z-o-o-IDvzQA/
Budrem Apartments,23.06.2015,Sulejkowska 20,mazowieckie,04-169,Warszawa,https://dolcevilla.otodom.pl
Buy & Rent,06.06.2019,Koszykowa 61a,mazowieckie,00-667,Warszawa,https://lloyd.otodom.pl
BWH Nieruchomości,06.09.2011,Marszałkowska 83,mazowieckie,00-683,Warszawa,https://www.otodom.pl/shop/bwh-nieruchomosci-ID1AUn/
Caldera sp. z o.o.,05.04.2017,Zajęcza 15,mazowieckie,00-351,Warszawa,https://www.otodom.pl/shop/caldera-sp-z-o-o-IDayg2/
Charbud Development sp. z o.o. sp. k.,20.10.2020,Zdziarska 60A,mazowieckie,03-289,Warszawa,https://www.otodom.pl/shop/charbud-development-sp-z-o-o-sp-k-IDv2Js/
City Homes,29.10.2020,Studencka 55,mazowieckie,02-735,Warszawa,https://www.otodom.pl/shop/city-homes-IDviox/
City Villa Sp. z o.o.-Piano Sp.k.,28.10.2019,Kopernika 5 lok. 10,mazowieckie,00-367,Warszawa,https://www.otodom.pl/shop/city-villa-sp-z-o-o-piano-sp-k-IDtLbI/
CK Development,19.12.2019,Różana 36/188,mazowieckie,02-569,Warszawa,https://www.otodom.pl/shop/ck-development-IDu2HR/
CK Rerum sp. z o.o.,12.04.2021,Tucholska 43,mazowieckie,01-618,Warszawa,https://www.otodom.pl/shop/ck-rerum-sp-z-o-o-IDxn8u/
