,district,vendor,price,pricePerMeter,originalFlatId,area,market,floatFloor,roomsNumber,buildingMaterial,constructionYear,heating,condition,floorsNumber,availableDate,typeOfBuilding,elevator,snapshotDate
0,Wilanów,nieznany,749000,13495,4b2w9,"55,50",wtórny,1,2,nieznany,2010,nieznane,do zamieszkania,4,2021-02-17,blok,yes,2021-05-29
1,Wola,nieznany,699000,20196,4bIC6,"34,61",wtórny,0,2,nieznany,2021,nieznane,nieznany,0,2021-02-17,nieznany,yes,2021-05-29
2,Ursus,nieznany,287000,14336,4bEuJ,"20,02",wtórny,parter,1,cegła,1969,miejskie,do zamieszkania,3,"<div aria-label=""Dostępne od"" class=""css-18h1kfv ev4i3ak3"" role=""region""><div class=""css-o4i8bk ev4i3ak2"" title=""Dostępne od"">Dostępne od<!-- -->:</div><div class=""css-1ytkscc ev4i3ak0"" title=""2021-05-24"">2021-05-24</div></div>",blok,yes,2021-05-29
3,Białołęka,https://www.otodom.pl/shop/dsm-dewelopment-IDafb2/,850000,5556,4bwxB,153,pierwotny,0,5,nieznany,2021,nieznane,nieznany,0,2021-02-17,nieznany,yes,2021-05-29
4,Ursus,https://www.otodom.pl/shop/akces-nieruchomosci-kaminska-i-sobanski-j-IDfLth/,1085000,9963,4bta1,"108,90",wtórny,6,4,nieznany,2009,nieznane,nieznany,7,2021-02-17,nieznany,yes,2021-05-29
5,Wola,nieznany,739000,11919,4arpr,62,pierwotny,1,3,nieznany,2021,miejskie,do wykończenia,12,"<div aria-label=""Dostępne od"" class=""css-18h1kfv ev4i3ak3"" role=""region""><div class=""css-o4i8bk ev4i3ak2"" title=""Dostępne od"">Dostępne od<!-- -->:</div><div class=""css-1ytkscc ev4i3ak0"" title=""2021-07-01"">2021-07-01</div></div>",szeregowiec,yes,2021-05-29
6,Wola,nieznany,1099000,11792,4aTUR,"93,20",pierwotny,4,4,nieznany,2021,miejskie,do wykończenia,12,"<div aria-label=""Dostępne od"" class=""css-18h1kfv ev4i3ak3"" role=""region""><div class=""css-o4i8bk ev4i3ak2"" title=""Dostępne od"">Dostępne od<!-- -->:</div><div class=""css-1ytkscc ev4i3ak0"" title=""2021-07-01"">2021-07-01</div></div>",apartamentowiec,yes,2021-05-29
7,Wola,nieznany,538000,13284,49Wod,"40,50",wtórny,parter,1,cegła,1938,miejskie,do zamieszkania,4,2021-02-17,kamienica,yes,2021-05-29
8,Ochota,https://www.otodom.pl/shop/piorek-house-IDi7DK/,479000,12345,4bKNk,"38,80",wtórny,1,1,nieznany,2002,nieznane,do zamieszkania,8,2021-02-17,apartamentowiec,yes,2021-05-29
9,Wola,nieznany,649000,11589,4arom,56,pierwotny,1,3,nieznany,2021,miejskie,do wykończenia,12,"<div aria-label=""Dostępne od"" class=""css-18h1kfv ev4i3ak3"" role=""region""><div class=""css-o4i8bk ev4i3ak2"" title=""Dostępne od"">Dostępne od<!-- -->:</div><div class=""css-1ytkscc ev4i3ak0"" title=""2021-07-01"">2021-07-01</div></div>",apartamentowiec,yes,2021-05-29
10,Śródmieście,nieznany,875000,17960,4b4rq,"48,72",wtórny,3,3,cegła,1962,miejskie,do zamieszkania,5,2021-02-17,blok,yes,2021-05-29
11,Bemowo,nieznany,839000,11817,4bl7H,71,wtórny,1,3,nieznany,2021,nieznane,do zamieszkania,6,"<div aria-label=""Dostępne od"" class=""css-18h1kfv ev4i3ak3"" role=""region""><div class=""css-o4i8bk ev4i3ak2"" title=""Dostępne od"">Dostępne od<!-- -->:</div><div class=""css-1ytkscc ev4i3ak0"" title=""2021-05-05"">2021-05-05</div></div>",nieznany,yes,2021-05-29
12,Wilanów,nieznany,999000,11893,4b5PT,84,wtórny,2,4,cegła,2021,miejskie,do zamieszkania,4,"<div aria-label=""Dostępne od"" class=""css-18h1kfv ev4i3ak3"" role=""region""><div class=""css-o4i8bk ev4i3ak2"" title=""Dostępne od"">Dostępne od<!-- -->:</div><div class=""css-1ytkscc ev4i3ak0"" title=""2021-04-18"">2021-04-18</div></div>",blok,yes,2021-05-29
13,Ursus,nieznany,699000,10922,4byRT,64,wtórny,7,3,cegła,2021,miejskie,do zamieszkania,7,"<div aria-label=""Dostępne od"" class=""css-18h1kfv ev4i3ak3"" role=""region""><div class=""css-o4i8bk ev4i3ak2"" title=""Dostępne od"">Dostępne od<!-- -->:</div><div class=""css-1ytkscc ev4i3ak0"" title=""2021-05-17"">2021-05-17</div></div>",blok,yes,2021-05-29
14,Śródmieście,nieznany,2499000,22313,4bBKh,112,pierwotny,6,4,cegła,2021,miejskie,do wykończenia,6,"<div aria-label=""Dostępne od"" class=""css-18h1kfv ev4i3ak3"" role=""region""><div class=""css-o4i8bk ev4i3ak2"" title=""Dostępne od"">Dostępne od<!-- -->:</div><div class=""css-1ytkscc ev4i3ak0"" title=""2021-05-20"">2021-05-20</div></div>",apartamentowiec,yes,2021-05-29
15,Ursus,nieznany,519700,10827,4bEt0,48,wtórny,3,2,cegła,2005,miejskie,do zamieszkania,5,"<div aria-label=""Dostępne od"" class=""css-18h1kfv ev4i3ak3"" role=""region""><div class=""css-o4i8bk ev4i3ak2"" title=""Dostępne od"">Dostępne od<!-- -->:</div><div class=""css-1ytkscc ev4i3ak0"" title=""2020-05-24"">2020-05-24</div></div>",blok,yes,2021-05-29
16,Ochota,https://warsawrealhouse.otodom.pl,1025000,9875,48aoY,"103,80",wtórny,10,3,inne,2004,miejskie,do zamieszkania,16,2021-02-17,apartamentowiec,yes,2021-05-29
17,Mokotów,https://warsawrealhouse.otodom.pl,540000,13740,4a9em,"39,30",wtórny,1,2,cegła,1967,miejskie,do remontu,8,2021-02-17,blok,yes,2021-05-29
18,Ursynów,https://warsawrealhouse.otodom.pl,699000,11537,4ajCT,"60,59",wtórny,1,3,wielka płyta,1980,miejskie,do zamieszkania,7,2021-02-17,blok,yes,2021-05-29
19,Białołęka,https://warsawrealhouse.otodom.pl,399000,7824,4akog,51,wtórny,2,2,nieznany,2004,gazowe,do remontu,3,2021-02-17,blok,yes,2021-05-29
20,Wola,https://www.otodom.pl/shop/wawa-estate-ID2Xyn/,719000,14673,4bKMX,49,wtórny,2,3,cegła,1965,miejskie,nieznany,3,2021-02-17,nieznany,yes,2021-05-29
21,Śródmieście,https://www.otodom.pl/shop/rs-real-estate-sp-z-o-o-ID2FBk/,2500000,12974,4bKMV,"192,70",wtórny,5,6,inne,2000,miejskie,do zamieszkania,10,2021-02-17,apartamentowiec,yes,2021-05-29
22,Praga-Północ,nieznany,525000,11667,4bAnX,45,wtórny,9,2,nieznany,1962,miejskie,do zamieszkania,11,2021-02-17,blok,yes,2021-05-29
23,Praga-Południe,https://city-profit.otodom.pl,530000,13947,4bjTk,38,wtórny,1,2,nieznany,1964,nieznane,nieznany,4,2021-02-17,nieznany,yes,2021-05-29
24,Mokotów,https://city-profit.otodom.pl,795000,13475,4bIWf,59,wtórny,2,2,nieznany,1960,nieznane,nieznany,4,2021-02-17,nieznany,yes,2021-05-29
25,Ochota,https://creative.otodom.pl,595000,14512,4bKME,41,wtórny,0,2,nieznany,2021,nieznane,nieznany,0,2021-02-17,nieznany,yes,2021-05-29
26,Mokotów,nieznany,550000,12360,4bKMt,"44,50",wtórny,2,2,cegła,2018,miejskie,do zamieszkania,2,2021-02-17,blok,yes,2021-05-29
27,Bemowo,nieznany,700000,12389,4azK1,"56,50",wtórny,1,2,żelbet,2006,miejskie,do zamieszkania,5,2021-02-17,blok,yes,2021-05-29
28,Wilanów,https://partnersinternational.otodom.pl,2500000,17857,4aeIn,140,wtórny,4,5,nieznany,2009,miejskie,do zamieszkania,4,"<div aria-label=""Dostępne od"" class=""css-18h1kfv ev4i3ak3"" role=""region""><div class=""css-o4i8bk ev4i3ak2"" title=""Dostępne od"">Dostępne od<!-- -->:</div><div class=""css-1ytkscc ev4i3ak0"" title=""2021-04-01"">2021-04-01</div></div>",apartamentowiec,yes,2021-05-29
29,Śródmieście,https://partnersinternational.otodom.pl,2150000,18943,49eef,"113,50",wtórny,2,4,nieznany,1924,gazowe,do zamieszkania,4,2021-02-17,kamienica,yes,2021-05-29
30,Białołęka,nieznany,690000,9551,4bKMi,"72,24",wtórny,1,3,cegła,2008,miejskie,do zamieszkania,3,2021-02-17,blok,yes,2021-05-29
31,Wilanów,https://creative.otodom.pl,620000,12157,4bKMn,51,wtórny,parter,2,cegła,2009,miejskie,do zamieszkania,4,2021-02-17,apartamentowiec,yes,2021-05-29
32,Bielany,nieznany,586000,10409,4bAmK,"56,30",wtórny,3,3,wielka płyta,1969,miejskie,do zamieszkania,10,2021-02-17,blok,yes,2021-05-29
33,Śródmieście,https://partnersinternational.otodom.pl,1330000,12667,49xYW,105,wtórny,1,3,nieznany,2000,inne,do zamieszkania,16,2021-02-17,apartamentowiec,yes,2021-05-29
34,Praga-Południe,https://www.otodom.pl/shop/k-s-partners-IDntj6/,490000,9939,4a4d9,"49,30",wtórny,2,2,nieznany,2001,gazowe,do zamieszkania,5,2021-02-17,dom wolnostojący,yes,2021-05-29
35,Mokotów,https://www.otodom.pl/shop/k-s-partners-IDntj6/,460000,11378,4bdjR,"40,43",wtórny,3,2,wielka płyta,1978,miejskie,do zamieszkania,3,2021-02-17,blok,yes,2021-05-29
36,Bemowo,https://www.otodom.pl/shop/k-s-partners-IDntj6/,475000,9814,4bDKN,"48,40",wtórny,parter,2,wielka płyta,1985,miejskie,do remontu,3,2021-02-17,blok,yes,2021-05-29
37,Rembertów,https://www.otodom.pl/shop/k-s-partners-IDntj6/,550000,9291,4bJho,"59,20",wtórny,parter,3,beton komórkowy,2012,gazowe,do remontu,2,2021-02-17,blok,yes,2021-05-29
38,Mokotów,https://www.otodom.pl/shop/k-s-partners-IDntj6/,1150000,13529,47QAo,85,wtórny,parter,4,cegła,2021,miejskie,do zamieszkania,2,"<div aria-label=""Dostępne od"" class=""css-18h1kfv ev4i3ak3"" role=""region""><div class=""css-o4i8bk ev4i3ak2"" title=""Dostępne od"">Dostępne od<!-- -->:</div><div class=""css-1ytkscc ev4i3ak0"" title=""2020-09-20"">2020-09-20</div></div>",kamienica,yes,2021-05-29
39,Mokotów,https://partnersinternational.otodom.pl,1490000,14752,49ELo,101,wtórny,5,5,nieznany,2008,miejskie,do zamieszkania,5,2021-02-17,blok,yes,2021-05-29
40,Śródmieście,https://partnersinternational.otodom.pl,6600000,36667,4bdMm,180,wtórny,5,5,nieznany,2011,miejskie,nieznany,6,2021-02-17,apartamentowiec,yes,2021-05-29
41,Wilanów,https://partnersinternational.otodom.pl,2580000,18169,4aiN9,142,wtórny,4,4,nieznany,2013,miejskie,nieznany,4,2021-02-17,blok,yes,2021-05-29
42,Śródmieście,https://partnersinternational.otodom.pl,3800000,27143,3S97m,140,wtórny,1,3,nieznany,2010,miejskie,do zamieszkania,5,"<div aria-label=""Dostępne od"" class=""css-18h1kfv ev4i3ak3"" role=""region""><div class=""css-o4i8bk ev4i3ak2"" title=""Dostępne od"">Dostępne od<!-- -->:</div><div class=""css-1ytkscc ev4i3ak0"" title=""2019-09-16"">2019-09-16</div></div>",apartamentowiec,yes,2021-05-29
43,Żoliborz,https://partnersinternational.otodom.pl,9000000,24457,497od,368,wtórny,1,6,nieznany,2001,miejskie,nieznany,9,2021-02-17,apartamentowiec,yes,2021-05-29
44,Praga-Północ,nieznany,384500,10681,4aYf4,36,wtórny,2,2,cegła,1930,elektryczne,do wykończenia,4,2021-02-17,kamienica,yes,2021-05-29
45,Mokotów,https://partnersinternational.otodom.pl,1450000,14010,4awPo,"103,50",wtórny,2,3,nieznany,2000,miejskie,do zamieszkania,5,2021-02-17,apartamentowiec,yes,2021-05-29
46,Mokotów,https://partnersinternational.otodom.pl,3490000,20529,4709a,170,wtórny,2,5,nieznany,2013,miejskie,do zamieszkania,2,2021-02-17,apartamentowiec,yes,2021-05-29
47,Mokotów,https://partnersinternational.otodom.pl,3500000,19444,42BCu,180,wtórny,1,5,nieznany,2000,inne,do zamieszkania,3,2021-02-17,apartamentowiec,yes,2021-05-29
48,Mokotów,https://partnersinternational.otodom.pl,3500000,19444,42BCu,180,wtórny,1,5,nieznany,2000,inne,do zamieszkania,3,2021-02-17,apartamentowiec,yes,2021-05-29
49,Ursus,nieznany,700000,10495,4aKSX,"66,70",wtórny,3,3,nieznany,2008,miejskie,do zamieszkania,5,2021-02-17,apartamentowiec,yes,2021-05-29
50,Ursus,nieznany,510000,10303,4aIT1,"49,50",wtórny,5,2,nieznany,2002,miejskie,do zamieszkania,6,2021-02-17,apartamentowiec,yes,2021-05-29
51,Praga-Południe,nieznany,425000,12500,4b9U2,34,wtórny,8,2,wielka płyta,1965,miejskie,do wykończenia,10,2021-02-17,blok,yes,2021-05-29
52,Bemowo,nieznany,585000,12188,4boic,48,wtórny,5,3,nieznany,2021,miejskie,do zamieszkania,6,2021-02-17,blok,yes,2021-05-29
53,Białołęka,nieznany,385000,11000,4bwgp,35,wtórny,1,1,beton komórkowy,2019,miejskie,do zamieszkania,2,2021-02-17,blok,yes,2021-05-29
54,Żoliborz,https://www.otodom.pl/shop/wawa-estate-ID2Xyn/,655000,16093,4bBGZ,"40,70",wtórny,1,2,nieznany,2017,miejskie,nieznany,8,2021-02-17,nieznany,yes,2021-05-29
55,Bemowo,https://www.otodom.pl/shop/wawa-estate-ID2Xyn/,600000,12848,4btZX,"46,70",wtórny,3,2,cegła,2007,miejskie,nieznany,5,2021-02-17,blok,yes,2021-05-29
56,Żoliborz,https://www.otodom.pl/shop/wawa-estate-ID2Xyn/,399000,12469,4bE1T,32,wtórny,4,1,cegła,1950,miejskie,do remontu,4,2021-02-17,nieznany,yes,2021-05-29
57,Bielany,https://www.otodom.pl/shop/wawa-estate-ID2Xyn/,570000,10000,4b1Su,57,wtórny,4,3,nieznany,1980,miejskie,nieznany,15,2021-02-17,blok,yes,2021-05-29
58,Śródmieście,https://www.otodom.pl/shop/wawa-estate-ID2Xyn/,710000,12034,4bAxi,59,wtórny,2,3,nieznany,1977,miejskie,nieznany,11,2021-02-17,blok,yes,2021-05-29
59,Mokotów,nieznany,899000,9730,4bxd0,"92,39",wtórny,4,4,cegła,1950,miejskie,do wykończenia,4,2021-02-17,kamienica,yes,2021-05-29
60,Śródmieście,nieznany,1280000,20000,4aYCr,64,wtórny,parter,3,cegła,1950,miejskie,do zamieszkania,3,2021-02-17,kamienica,yes,2021-05-29
61,Bemowo,nieznany,850000,11258,4bvyV,"75,50",wtórny,parter,3,nieznany,1993,miejskie,do remontu,0,2021-02-17,blok,yes,2021-05-29
62,Bemowo,nieznany,835000,11395,4bAkf,"73,28",wtórny,3,3,nieznany,2011,gazowe,do zamieszkania,6,2021-02-17,blok,yes,2021-05-29
63,Mokotów,https://landhausnieruchomosci.otodom.pl,780000,15892,4aq5M,"49,08",wtórny,7,2,żelbet,2020,miejskie,do zamieszkania,7,"<div aria-label=""Dostępne od"" class=""css-18h1kfv ev4i3ak3"" role=""region""><div class=""css-o4i8bk ev4i3ak2"" title=""Dostępne od"">Dostępne od<!-- -->:</div><div class=""css-1ytkscc ev4i3ak0"" title=""2020-03-05"">2020-03-05</div></div>",blok,yes,2021-05-29
64,Ursus,https://www.otodom.pl/shop/metry-dla-ciebie-IDuaNn/,835000,8883,4bKKT,94,wtórny,6,3,nieznany,2021,nieznane,nieznany,7,2021-02-17,apartamentowiec,yes,2021-05-29
65,Mokotów,https://metrohousesadyba.otodom.pl,849000,12862,4axuv,"66,01",wtórny,6,3,silikat,2019,miejskie,do zamieszkania,7,2021-02-17,apartamentowiec,yes,2021-05-29
66,Mokotów,https://metrohousesadyba.otodom.pl,662000,15576,4aYv9,"42,50",wtórny,6,2,inne,2019,miejskie,do zamieszkania,7,2021-02-17,apartamentowiec,yes,2021-05-29
