022 NIERUCHOMOŚCI SP. Z O.O.;2021-02-03;LANCIEGO 16/47;mazowieckie;02-792;Warszawa;https://www.otodom.pl/shop/022-nieruchomosci-sp-z-o-o-IDvTvF/;0
3 Metry;2015-08-27;Puławska 12/3;mazowieckie;02-566;Warszawa;https://3metry.otodom.pl;0
4piętro;2020-07-09;Oławska 5;mazowieckie;01-494;Warszawa;https://www.otodom.pl/shop/4pietro-IDwtwe/;0
4 Ściany Sp. z o.o.;2007-04-26;Pl. Konstytucji 3 lok.41;mazowieckie;00-647;Warszawa;https://www.otodom.pl/shop/4-sciany-sp-z-o-o-ID3PI/;0
50m2.pl - Luxury Real Estate;2020-09-16;Nowogrodzka 31;mazowieckie;00-511;Warszawa;https://www.otodom.pl/shop/50m2-pl-luxury-real-estate-IDwZib/;0
535broker.com;2011-01-13;Marszałkowska 84/92;mazowieckie;00-514;Warszawa;https://535broker.otodom.pl;0
8 ESTATE Biuro Sprzedaży Nieruchomości;2021-01-30;Mazowiecka 11, lok. 49;mazowieckie;00-052;Warszawa;https://8estate.otodom.pl;0
a;2019-01-29;aa;mazowieckie;00-000;Warszawa;https://www.otodom.pl/shop/a-IDnvYU/;0
A6 Nieruchomości;2020-07-02;Żuromińska 15;mazowieckie;03-341;Warszawa;https://www.otodom.pl/shop/a6-nieruchomosci-IDwqCl/;0
A&A Jolie Maison;2021-04-13;Żoliborz;mazowieckie;01-601;Warszawa;https://www.otodom.pl/shop/a-a-jolie-maison-IDxcZ4/;0
A.A. Kalisz Anna Kalisz;2017-01-18;Mokotowska 48 lok 203;mazowieckie;00-543;Warszawa;https://www.otodom.pl/shop/a-a-kalisz-anna-kalisz-ID9CRA/;0
AbacusTeam. Piotr Górski;2018-09-10;Relaksowa 37 lok. 25;mazowieckie;02-796;Warszawa;https://abacusteam.otodom.pl;0
ABADA Nieruchomości;2019-10-01;Puławska 145;mazowieckie;02-715;Warszawa;https://www.otodom.pl/shop/abada-nieruchomosci-IDtC1X/;0
ABC Nieruchomości Warszawskie Sp. z o.o.;2016-07-26;Rynek Starego Miasta 12/14 lok. 2;mazowieckie;00-272;Warszawa;https://www.otodom.pl/shop/abc-nieruchomosci-warszawskie-sp-z-o-o-ID7rC8/;0
ABC Nieruchomości - Małgorzata Ziółkowska;2018-03-14;C. Śniegockiej 5 lok. 1;mazowieckie;00-430;Warszawa;https://www.otodom.pl/shop/abc-nieruchomosci-malgorzata-ziolkowska-IDggnh/;0
ABRA Nieruchomości;2017-08-28;Rakowiecka 36/118;mazowieckie;02-532;Warszawa;https://abra-nieruchomosci.otodom.pl;0
ABSLEY;2019-12-14;ul. Lucerny 49A;mazowieckie;04-687;Warszawa;https://ABSLEY.otodom.pl;0
ACONS sp z o.o. sp. kom.;2018-11-05;Pańska 73;mazowieckie;00-834;Warszawa;https://www.otodom.pl/shop/acons-sp-z-o-o-sp-kom-IDlVEU/;0
ACORD Nieruchomości;2011-06-08;ul. Andersa 31 lok 203;mazowieckie;00-159;Warszawa;https://www.otodom.pl/shop/acord-nieruchomosci-ID1rMq/;0
ADAMPOLSKI-NIERUCHOMOŚCI S.C.;2017-07-20;Wałbrzyska 48;mazowieckie;02-743;Warszawa;https://www.otodom.pl/shop/adampolski-nieruchomosci-s-c-IDbFxI/;0
Adam Rzemieniuk wycena majątku;2019-06-17;Al. KEN, 11/173;mazowieckie;02-797;Warszawa;https://www.otodom.pl/shop/adam-rzemieniuk-wycena-majatku-IDqwf0/;0
AD.DRĄGOWSKI;2015-06-15;Al. J. Ch. Szucha, 2/4;mazowieckie;00-582;Warszawa;https://www.otodom.pl/shop/ad-dragowski-ID3Opg/;0
ADORA;2016-12-05;Warszawa;mazowieckie;01-112;Warszawa;https://adora.otodom.pl;0
A.Drabczyk-Nieruchomości;2016-08-20;Zielone Zacisze;mazowieckie;03-294;Warszawa;https://www.otodom.pl/shop/a-drabczyk-nieruchomosci-ID7MiY/;0
AdReM Nieruchomości Sp z o.o.;2018-01-22;Bukowińska 24a/34;mazowieckie;02-703;Warszawa;https://adremwarszawa.otodom.pl;0
adres;2016-09-05;Polska;mazowieckie;02-013;Warszawa;https://www.otodom.pl/shop/adres-ID81zY/;0
Adres Niewiadomski Ryszard;2021-02-11;Czerwonego Krzyża 2;mazowieckie;00-377;Warszawa;https://www.otodom.pl/shop/adres-niewiadomski-ryszard-IDvVzD/;0
AD Complex;2017-04-24;Al. Jerozolimskie 6 lok.404;mazowieckie;00-374;Warszawa;https://www.otodom.pl/shop/ad-complex-IDaKzM/;0
AD House Nieruchomości;2017-01-10;UL. PŁOCKA, 17/19;mazowieckie;01-230;Warszawa;https://www.otodom.pl/shop/ad-house-nieruchomosci-ID9rIu/;0
A&E Estate;2020-10-09;Boguckiego 4/77;mazowieckie;01-502;Warszawa;https://www.otodom.pl/shop/a-e-estate-IDvaMg/;0
Afisz Licencjonowane Biuro Nieruchomości;2010-10-06;Podróżnicza 5 H;mazowieckie;03-111;Warszawa;https://afisz-nieruchomosci.otodom.pl;0
AGATA SZAWRO NIERUCHOMOSCI;2020-10-22;Nowy Świat 33 lokal 13;mazowieckie;00-029;Warszawa;https://www.otodom.pl/shop/agata-szawro-nieruchomosci-IDv4Kb/;0
